"appearance_id","game_id","player_id","player_club_id","player_current_club_id","date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"2289392_101615",2289392,101615,2671,2671,"2013-02-27","Nikolaos Babaniotis","GRP",0,0,0,0,90
"3613208_873542",3613208,873542,3205,3205,"2022-05-21","Hayrullah Erkip","TR1",0,0,0,0,45
"2359409_23284",2359409,23284,430,749,"2014-01-26","Manuel Pasqual","IT1",0,0,0,0,90
"2704307_66058",2704307,66058,15,589,"2016-10-29","Admir Mehmedi","L1",1,0,1,0,87
"2718873_81532",2718873,81532,897,1467,"2017-01-06","Celso Borges","ES1",0,0,1,0,90
"4109337_498237",4109337,498237,720,683,"2023-09-29","David Carmo","PO1",1,0,0,0,90
"4129668_157113",4129668,157113,6646,1467,"2024-02-16","Nazım Sangaré","TR1",0,0,0,0,90
"4376359_685854",4376359,685854,2698,2698,"2024-08-09","Ruslan Bezrukov","RU1",0,0,0,0,90
"2929459_501612",2929459,501612,16247,48726,"2017-10-25","Yuriy Klymchuk","UKRP",0,0,1,0,120
"3135811_141050",3135811,141050,720,583,"2019-03-06","Danilo Pereira","CL",1,0,0,0,120
"4098771_207015",4098771,207015,1096,1096,"2023-08-18","Vincent Janssen","BE1",1,0,1,0,80
"2486392_113358",2486392,113358,354,232,"2014-08-16","Sofiane Hanni","BE1",0,0,0,0,90
"4403430_640026",4403430,640026,1091,1091,"2024-11-03","Shola Shoretire","GR1",0,0,0,0,1
