"player_id","transfer_date","transfer_season","from_club_id","to_club_id","from_club_name","to_club_name","transfer_fee","market_value_in_eur","player_name"
53077,"2012-08-11","12/13",2448,368,"Sporting Gijón","Sevilla FC",3e+06,6e+06,"Alberto Botía"
345105,"2023-07-01","23/24",589,44006,"Antalyaspor","Bodrum FK",675000,1500000,"Gökdeniz Bayrakdar"
624942,"2024-06-30","23/24",366,398,"Real Valladolid","Lazio",0,2500000,"Raúl Moro"
178314,"2017-06-30","16/17",16795,9250,"Granada CF","Chelsea U23",0,1e+06,"Victorien Angban"
168337,"2018-01-30","17/18",1003,2410,"Leicester","CSKA Moscow",0,1.5e+07,"Ahmed Musa"
59442,"2024-01-05","23/24",63007,110586,"LNZ Cherkasy","UCSA",0,150000,"Yevgen Selin"
316264,"2015-01-22","14/15",2817,6767,"Strømsgodset","RM Castilla",2800000,4e+06,"Martin Ødegaard"
287792,"2017-07-18","17/18",21218,16247,"Dynamo Kyiv II","Stal Kamyanske",0,3e+05,"Oleksandr Tymchyk"
412954,"2024-01-25","23/24",370,1283,"Aberdeen FC","FC Emmen",0,450000,"Vicente Besuijen"
88721,"2013-07-13","13/14",631,383,"Chelsea","PSV Eindhoven",3500000,2250000,"Jeffrey Bruma"
718115,"2023-06-30","22/23",91870,14503,"AEK Athens B","1º de Agosto",0,2e+05,"Zini"
804799,"2024-06-30","23/24",1103,416,"Ternana","Torino",0,2e+05,"Ange Caumenan N'Guessan"
205023,"2016-01-29","15/16",383,133,"PSV Eindhoven","SC Cambuur",0,5e+05,"Rai Vloet"
460688,"2024-02-08","23/24",1467,10484,"Göztepe","Kasimpasa",0,4e+05,"Emre Gedik"
168157,"2018-08-09","18/19",58,543,"RSC Anderlecht","Wolves",0,1.7e+07,"Leander Dendoncker"
82130,"2014-08-08","14/15",2698,114,"Rubin Kazan","Besiktas",4500000,7e+06,"Gökhan Töre"
232964,"2019-12-31","19/20",865,1148,"FC Midtjylland","Brentford",0,1700000,"Emiliano Marcondes"
208379,"2018-07-01","18/19",1237,1071,"Brighton","Wigan",0,250000,"Christian Walton"
459661,"2024-09-11","24/25",46,653,"Inter","OFI Crete FC",0,1e+06,"Eddie Salcedo"
344294,"2023-04-12","22/23",65768,10481,"FC Aksu","Tobol Kostanay",0,5e+05,"Ramazan Orazov"
